"","X","time","sourceTimestamp","firstCreated","sourceId","headline","urgency","takeSequence","provider","subjects","audiences","bodySize","companyCount","headlineTag","marketCommentary","sentenceCount","wordCount","assetCodes","assetName","firstMentionSentence","relevance","sentimentClass","sentimentNegative","sentimentNeutral","sentimentPositive","sentimentWordCount","noveltyCount12H","noveltyCount24H","noveltyCount3D","noveltyCount5D","noveltyCount7D","volumeCounts12H","volumeCounts24H","volumeCounts3D","volumeCounts5D","volumeCounts7D","date"
"8666475",8666474,"2016-04-14 02:20:43+00:00","2016-04-14 02:20:43+00:00","2016-04-14 02:20:43+00:00","73196b538d6e0e28","Apple iPhone unlocking maneuver likely to remain secret ",3,1,"RTRS","{'SHOP', 'CIV', 'CMPNY', 'AMERS', 'US', 'TECH', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'RETE', 'HARW', 'MDIA', 'COMP', 'CCOS', 'LEN', 'DAT', 'POL', 'RSPC', 'RTRS', 'GEN'}","{'RNP', 'NAW', 'E', 'U', 'PCO', 'PCU', 'PSC', 'DNP'}",4638,1,"","False",30,814,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",1,1,-1,0.687945,0.215843,0.0962121,565,0,0,0,0,0,7,7,33,33,71,2016-04-14
"8666674",8666673,"2016-04-14 05:58:26+00:00","2016-04-14 05:58:26+00:00","2016-04-14 05:30:16+00:00","5da5e1f7f8c44eb5","BRIEF-TSMC says Q1 net profit T$64.78 bln (market consensus T$65.65 bln)",3,2,"RTRS","{'SEMI', 'SHOP', 'INDS', 'CMPNY', 'ASIA', 'AMERS', 'US', 'TECH', 'BACT', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'MACH', 'INDG', 'RETE', 'HARW', 'EMRG', 'MDIA', 'CHIP', 'COMP', 'CCOS', 'ELCO', 'LEN', 'CN', 'TW', 'RES', 'RSPC', 'RTRS', 'RESF'}","{'RNP', 'Z', 'NAW', 'E', 'U', 'PCO', 'PCU', 'PSC', 'DNP'}",1679,2,"BRIEF","False",11,323,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",8,0.288675,1,0.232192,0.342822,0.424986,112,0,0,0,0,0,6,8,32,34,70,2016-04-14
"8666819",8666818,"2016-04-14 09:15:00+00:00","2016-04-14 09:15:00+00:00","2016-04-14 09:15:00+00:00","ad11d8b1a530f203","Fingerprint firms unlocking new markets beyond smartphones",3,1,"RTRS","{'SEMI', 'SHOP', 'INDS', 'ITSE', 'NO', 'CMPNY', 'CEEU', 'US', 'AMERS', 'TECH', 'BACT', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'MACH', 'INDG', 'RETE', 'HARW', 'DE', 'NORD', 'MDIA', 'WEU', 'CHIP', 'COMP', 'CCOS', 'ELCO', 'LEN', 'RES', 'RSPC', 'RTRS', 'RESF', 'EUROP', 'EZC', 'SE'}","{'EMK', 'RNP', 'SW', 'NAW', 'NW', 'E', 'DA', 'U', 'PSC', 'PCO', 'FN', 'PCU', 'NBN', 'DNP'}",5480,5,"","False",39,1068,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",7,0.124035,1,0.0316633,0.132592,0.835745,68,0,0,0,0,0,2,9,32,35,71,2016-04-14
"8666829",8666828,"2016-04-14 09:32:29+00:00","2016-04-14 09:32:29+00:00","2016-04-14 09:32:29+00:00","370d9c1332fb8e50","REFILE-Fingerprint firms unlocking new markets beyond smartphones",3,1,"RTRS","{'SEMI', 'SHOP', 'INDS', 'ITSE', 'NO', 'CMPNY', 'CEEU', 'US', 'AMERS', 'TECH', 'BACT', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'MACH', 'INDG', 'RETE', 'HARW', 'DE', 'NORD', 'MDIA', 'WEU', 'CHIP', 'COMP', 'CCOS', 'ELCO', 'LEN', 'RES', 'RSPC', 'RTRS', 'RESF', 'EUROP', 'EZC', 'SE'}","{'EMK', 'RNP', 'SW', 'NAW', 'NW', 'E', 'DA', 'U', 'PSC', 'PCO', 'FN', 'PCU', 'NBN', 'DNP'}",5533,5,"REFILE","False",40,1081,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",8,0.124035,1,0.0316633,0.132592,0.835745,68,1,1,1,1,1,3,10,33,36,71,2016-04-14
"8666839",8666838,"2016-04-14 09:38:55+00:00","2016-04-14 09:38:55+00:00","2016-04-14 09:38:55+00:00","c98eef471212da83","UPDATE 1-Chip giant TSMC cuts global smartphone outlook, sees post-quake Q2 boost",3,1,"RTRS","{'SEMI', 'SHOP', 'INDS', 'CMPNY', 'ASIA', 'US', 'AMERS', 'BACT', 'TECH', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'MACH', 'INDG', 'RETE', 'JP', 'HARW', 'EMRG', 'MDIA', 'CHIP', 'COMP', 'CCOS', 'ELCO', 'LEN', 'CN', 'RES', 'TW', 'RSPC', 'RTRS', 'RESF', 'EUROP'}","{'RNP', 'Z', 'NAW', 'E', 'U', 'PCO', 'PCU', 'PSC', 'DNP'}",3348,2,"UPDATE 1","False",24,613,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",2,0.40452,1,0.216914,0.173667,0.609419,175,0,0,0,0,0,4,11,34,37,71,2016-04-14
"8668136",8668135,"2016-04-14 12:30:18+00:00","2016-04-14 12:30:18+00:00","2016-04-14 12:30:18+00:00","474d8acf109eac06","Mobile & Online Payments, Smart Wallets & Contactless Payment Systems Could Reach $3.6 Trillion This Year",3,1,"PRN","{'SHOP', 'ITSE', 'BISV', 'CMPNY', 'FINS', 'AMERS', 'US', 'TECH', 'BSVC', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'RETE', 'NEWR', 'HARW', 'RCH', 'MDIA', 'WWW', 'COMP', 'TCOM', 'CCOS', 'SOCI', 'LEN', 'WLES', 'RSPC', 'GEN'}","{'CNR', 'PRN'}",8388,5,"","False",50,1447,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",6,0.447214,1,0.208953,0.391155,0.399892,199,0,0,0,0,0,5,12,35,38,67,2016-04-14
"8669079",8669078,"2016-04-14 16:15:00+00:00","2016-04-14 16:15:00+00:00","2016-04-14 16:15:00+00:00","880f049f8fa5b8f9","Apple to donate a portion of App Sales to support the environment",3,1,"RTRS","{'SHOP', 'CMPNY', 'AMERS', 'US', 'TECH', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'RETE', 'HARW', 'MDIA', 'COMP', 'CCOS', 'LEN', 'RSPC', 'RTRS', 'ENV', 'GEN'}","{'RNP', 'NAW', 'G', 'E', 'U', 'PCO', 'PCU', 'PSC', 'DNP', 'PGE'}",2686,1,"","False",15,480,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",1,1,1,0.316504,0.185327,0.498169,480,0,0,0,0,0,5,13,35,39,64,2016-04-14
"8669446",8669445,"2016-04-14 18:53:24+00:00","2016-04-14 18:53:24+00:00","2016-04-14 18:53:24+00:00","14d7a826268c7725","MEDIA-Apple hires NFL, Biden veteran as head of its Washington office- Politico",3,1,"RTRS","{'SHOP', 'ITSE', 'CMPNY', 'US', 'AMERS', 'BACT', 'TECH', 'CYCS', 'TEEQ', 'SOFW', 'TMT', 'SHOPAL', 'SWIT', 'RETE', 'MNGISS', 'HARW', 'MDIA', 'COMP', 'PRESS', 'CCOS', 'LEN', 'BOSS1', 'RSPC', 'RTRS'}","{'PSC', 'U', 'NAW', 'E'}",232,1,"","False",2,57,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",1,1,1,0.163168,0.397204,0.439628,57,0,0,1,1,1,5,8,33,40,62,2016-04-14
"8669871",8669870,"2016-04-14 20:49:01+00:00","2016-04-14 20:49:01+00:00","2016-04-14 20:49:01+00:00","605a2139d7ac7b95","Reuters Insider - U.S. Morning Call: Bank of America's quarterly profit slides",3,1,"RTRS","{'SHOP', 'INDS', 'TRAN', 'BISV', 'CELE', 'CMPNY', 'FUND', 'FOBE', 'AMERS', 'US', 'BACT', 'TECH', 'BSVC', 'AIRL', 'CYCS', 'TEEQ', 'INT', 'SOFW', 'HDWR', 'SHOPAL', 'TMT', 'SWIT', 'HSGD', 'RETE', 'CEN', 'CYCP', 'HARW', 'MTVID', 'DRV', 'MDIA', 'COMP', 'PSVC', 'CCOS', 'LEN', 'ENTS', 'PEPS', 'STX', 'BANK', 'RES', 'RSPC', 'INVM', 'RTRS', 'MCE', 'AIRS', 'INVS', 'CAFE', 'FINS', 'NCYC'}","{'RITV'}",2830,8,"","False",25,440,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",22,0.140028,0,0.322228,0.375163,0.302609,29,0,0,0,1,1,6,8,33,41,61,2016-04-14
"8670000",8669999,"2016-04-14 21:15:24+00:00","2016-04-14 21:15:24+00:00","2016-04-14 21:15:24+00:00","8119bd679cafca43","APPLE GENERAL COUNSEL TO TESTIFY ON TUESDAY AT U.S. HOUSE COMMITTEE HEARING ON ENCRYPTION -COMMITTEE STATEMENT",1,1,"RTRS","{'CLJ', 'CMPNY', 'US', 'TECH', 'LAW', 'TEEQ', 'NEWS1', 'USACA', 'SOFW', 'TMT', 'SWIT', 'RETE', 'CRIM', 'HARW', 'WASH', 'MDIA', 'SECUR', 'JUDIC', 'WWW', 'LEN', 'DAT', 'POL', 'HACK', 'REGS', 'RTRS'}","{'U', 'NAW', 'G', 'E'}",0,1,"","False",1,18,"{'AAPL.F', 'AAPL.OQ', 'AAPL.DE', 'AAPL.O'}","Apple Inc",1,1,-1,0.468188,0.324657,0.207155,18,0,0,0,0,0,6,9,34,42,62,2016-04-14
